id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id,dup_group
39369,Nancho,Nancho,SEAWEA_UNKNOWN,Run of River,Myanmar,2010,Operational,72.0,-99.0,-99.0,-99.0,0.3,9.0,-99.0,-99.0,-99.0,-999.9,-999.9,-999.9,-999.9,-999.9,40.0,Hydropower,SEAWEA_UNKNOWN,96.082909,19.797673,,
4217,SEAWEA_UNKNOWN,Khabaung,Khabaung,SEAWEA_UNKNOWN,Myanmar,2008,Operational,-99.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99.0,-999.9,30.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,96.717,19.16,,
46,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Myanmar,2003,Operational,-999.9,-999.9,11.86187354,5.675442025,-999.9,136.9242916,35.91316234,-999.9,-999.9,-999.9,-999.9,75.18604683,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,96.4361,17.8562,46.0,
58,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Myanmar,2002,Operational,-999.9,-999.9,22.37417553,9.13177115,-999.9,162.0457409,46.27873376,-999.9,-999.9,-999.9,-999.9,145.2488802,-999.9,-999.9,-999.9,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,96.3052,18.0086,58.0,
10179,Zaungtu,Zaungtu,Zaungtu,Storage,Myanmar,2000,Operational,45.0,-999.9,-999.9,-999.9,2.57,407.0,-999.9,16.19,16.6,-999.9,-999.9,-999.9,-99.0,-999.9,20.0,Hydropower,SEAWEA_UNKNOWN,96.197917,17.756465,,
333,Barkal,Karnafuli,Kaptai Hydro:Unit-1 2 3 4 5,Storage,Bangladesh,1962,Operational,46.0,671.0,777.0,400.0,777.0,6500.0,5021.0,6477.0,19.9,-999.9,-999.9,-999.9,-999.9,-999.9,230.0,Hydropower,SEAWEA_UNKNOWN,92.228125,22.495122,,
1805,SEAWEA_UNKNOWN,Gumti,SEAWEA_UNKNOWN,Storage,India,1976,Operational,30.0,103.0,-99.0,-99.0,34.0,-99.0,-99.0,312.0,9.1,-999.9,-999.9,-999.9,-99.0,-999.9,15.0,Hydropower,SEAWEA_UNKNOWN,91.814231,23.462017,,
346,Sirikit,Sirikit,Sirikit,Storage,Thailand,1974,Operational,114.0,800.0,320.0,166.2317988,260.0,10508.3199,6660.0,9510.0,37.9,-999.9,-999.9,136.4952102,84.3,-999.9,500.0,Irrigation,SEAWEA_UNKNOWN,100.560357,17.764675,149.0,
348,Bhumibol,Bhumibol,Bhumibol,Storage,Thailand,1964,Operational,154.0,486.0,300.0,120.0,300.0,13462.0,9662.0,13462.0,60.9,-999.9,-999.9,233.8127418,100.0,-999.9,744.0,Irrigation,SEAWEA_UNKNOWN,98.971794,17.243734,12.0,
360,Pasak Chonlasit,Pasak Chonlasit,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1999,Operational,185.0,4860.0,100.0,-99.0,-99.0,5950.0,4100.0,5950.0,51.7,-999.9,-999.9,-999.9,-999.9,-999.9,-99.0,Water supply,SEAWEA_UNKNOWN,101.086458,14.852408,,
